node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil004,0,0,0,5,0,5,5,0.00041,True
Sybil004,0,0,0,5,0,5,5,0.00046,True
Sybil004,0,0,0,5,1,4,5,0.0,True
Sybil004,4,4,0,1,1,0,3,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,3,3,0,2,2,0,4,0.00042,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,4,4,0,1,0,1,3,0.02262,True
Sybil004,0,0,0,5,1,4,5,0.00051,True
Sybil004,3,3,0,2,2,0,3,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,4,4,0,1,1,0,3,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,0,0,0,5,0,5,4,0.00049,True
Sybil004,2,2,0,3,1,2,5,0.00043,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,4,4,0,1,1,0,1,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,1,1,0,4,0,4,3,0.027,True
Sybil004,0,0,0,5,0,5,4,0.0004,True
Sybil004,0,0,0,5,0,5,4,0.0005,True
Sybil004,4,4,0,1,0,1,3,0.00043,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,3,3,0,2,0,2,4,0.02451,True
Sybil004,0,0,0,5,0,5,4,0.0,True
Sybil004,1,1,0,4,1,3,5,0.00043,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,4,4,0,1,1,0,3,0.0,True
Sybil004,4,4,0,1,1,0,2,0.0,True
