node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node003,2,3,4,0.0,0.4,0.2,0.2,1.9219,4,False
Node003,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,False
Node003,3,2,4,0.00065,0.4,0.0,0.4,1.9219,5,False
Node003,0,5,3,0.00044,0.4,0.2,0.4,1.5219,5,False
Node003,0,5,5,0.00044,0.2,0.2,0.2,2.3219,5,False
Node003,0,5,4,0.0,0.4,0.0,0.4,1.9219,4,False
Node003,2,3,5,0.02317,0.2,0.2,0.4,2.3219,5,False
Node003,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,False
Node003,3,2,4,0.00043,0.4,0.2,0.0,1.9219,5,False
Node003,0,5,4,0.00065,0.4,0.6,0.0,1.9219,4,False
Node003,2,3,5,0.02557,0.2,0.0,0.6,2.3219,5,False
Node003,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node003,3,2,4,0.0,0.4,0.2,0.4,1.9219,4,False
Node003,0,5,5,0.00086,0.2,0.2,0.2,2.3219,5,False
Node003,0,5,4,0.0255,0.4,0.2,0.2,1.9219,4,False
Node003,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node003,5,0,4,0.0,0.4,0.2,0.0,1.9219,5,False
Node003,0,5,4,0.00059,0.4,0.2,0.4,1.9219,4,False
Node003,0,5,5,0.00043,0.2,0.6,0.4,2.3219,5,False
Node003,1,4,4,0.02306,0.4,0.4,0.0,1.9219,5,False
Node003,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,False
Node003,4,1,3,0.00092,0.6,0.2,0.0,1.371,5,False
Node003,0,5,5,0.00042,0.2,0.2,0.2,2.3219,5,False
