node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node001,5,0,5,0,0,0,5,0.0,False
Node001,5,0,5,0,0,0,4,0.0,False
Node001,0,0,0,5,1,4,5,0.00046,False
Node001,1,0,1,4,4,0,4,0.02205,False
Node001,5,0,5,0,0,0,5,0.0,False
Node001,4,0,4,1,0,1,3,0.0,False
Node001,0,0,0,5,0,5,4,0.0,False
Node001,0,0,0,5,0,5,4,0.00045,False
Node001,2,0,2,3,3,0,4,0.02791,False
Node001,5,0,5,0,0,0,4,0.0,False
Node001,3,0,3,2,0,2,4,0.00041,False
Node001,0,0,0,5,1,4,5,0.00043,False
Node001,2,0,2,3,3,0,4,0.027,False
Node001,5,0,5,0,0,0,5,0.0,False
Node001,3,0,3,2,0,2,4,0.0004,False
Node001,0,0,0,5,0,5,4,0.0005,False
Node001,0,0,0,5,5,0,3,0.0,False
Node001,5,0,5,0,0,0,5,0.0,False
Node001,5,0,5,0,0,0,3,0.0,False
Node001,0,0,0,5,0,5,5,0.00041,False
Node001,0,0,0,5,0,5,3,0.00043,False
Node001,0,0,0,5,2,3,5,0.00043,False
