node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node000,5,0,5,0,0,0,4,0.0,False
Node000,5,0,5,0,0,0,4,0.0,False
Node000,0,0,0,5,0,5,4,0.00041,False
Node000,0,0,0,5,0,5,4,0.00046,False
Node000,2,0,2,3,3,0,3,0.02205,False
Node000,5,0,5,0,0,0,3,0.0,False
Node000,3,0,3,2,0,2,3,0.00043,False
Node000,0,0,0,5,0,5,5,0.0005,False
Node000,0,0,0,5,4,1,4,0.00045,False
Node000,5,0,5,0,0,0,5,0.0,False
Node000,5,0,5,0,0,0,5,0.0,False
Node000,0,0,0,5,0,5,4,0.00043,False
Node000,0,0,0,5,1,4,4,0.00043,False
Node000,2,0,2,3,3,0,4,0.027,False
Node000,5,0,5,0,0,0,4,0.0,False
Node000,3,0,3,2,0,2,4,0.0004,False
Node000,0,0,0,5,0,5,5,0.00043,False
Node000,0,0,0,5,4,1,3,0.00043,False
Node000,2,0,2,3,3,0,4,0.02464,False
Node000,5,0,5,0,0,0,4,0.0,False
Node000,3,0,3,2,0,2,5,0.00041,False
Node000,0,0,0,5,0,5,4,0.00043,False
Node000,0,0,0,5,3,2,3,0.00043,False
