node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil001,0,0,0,5,0,5,5,0.00041,True
Sybil001,0,0,0,5,0,5,3,0.00046,True
Sybil001,1,1,0,4,0,4,5,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,4,4,0,1,1,0,2,0.0,True
Sybil001,3,3,0,2,2,0,3,0.00042,True
Sybil001,3,3,0,2,0,2,4,0.02262,True
Sybil001,0,0,0,5,0,5,4,0.00087,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,4,4,0,1,1,0,2,0.00044,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,0,0,0,5,0,5,4,0.00043,True
Sybil001,1,1,0,4,0,4,5,0.00043,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,4,4,0,1,1,0,3,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,2,2,0,3,0,3,4,0.02687,True
Sybil001,0,0,0,5,0,5,5,0.00043,True
Sybil001,2,2,0,3,0,3,4,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,4,4,0,1,1,0,3,0.00043,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,4,4,0,1,0,1,3,0.02492,True
Sybil001,5,5,0,0,0,0,2,0.0,True
Sybil001,5,5,0,0,0,0,2,0.00043,True
Sybil001,5,5,0,0,0,0,2,0.0,True
