node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node025,4,0,4,1,0,1,4,0.0,False
Node025,5,0,5,0,0,0,4,0.0,False
Node025,1,0,1,4,1,3,4,0.00046,False
Node025,0,0,0,5,2,3,5,0.02262,False
Node025,4,0,4,1,0,1,4,0.0,False
Node025,5,0,5,0,0,0,4,0.0,False
Node025,1,0,1,4,0,4,3,0.00043,False
Node025,0,0,0,5,2,3,5,0.02718,False
Node025,4,0,4,1,0,1,5,0.00043,False
Node025,5,0,5,0,0,0,4,0.0,False
Node025,1,0,1,4,0,4,3,0.00043,False
Node025,0,0,0,5,3,2,4,0.027,False
Node025,4,0,4,1,0,1,5,0.0004,False
Node025,5,0,5,0,0,0,4,0.0,False
Node025,1,0,1,4,0,4,5,0.00043,False
Node025,0,0,0,5,3,2,4,0.0245,False
Node025,0,0,0,5,0,5,4,0.00041,False
Node025,4,0,4,1,0,1,4,0.0,False
Node025,5,0,5,0,0,0,5,0.0,False
Node025,1,0,1,4,1,3,4,0.00043,False
