node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node030,0,5,4,0.0,0.4,0.6,0.2,1.9219,5,False
Node030,5,0,3,0.0,0.6,0.2,0.0,1.371,5,False
Node030,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node030,0,5,4,0.00043,0.4,0.6,0.2,1.9219,4,False
Node030,0,5,5,0.00043,0.2,0.0,0.2,2.3219,4,False
Node030,4,1,4,0.0,0.4,0.2,0.2,1.9219,4,False
Node030,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node030,1,4,4,0.00043,0.4,0.2,0.6,1.9219,5,False
Node030,3,2,4,0.00099,0.4,0.2,0.2,1.9219,5,False
Node030,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node030,2,3,5,0.00043,0.2,0.0,0.2,2.3219,5,False
Node030,0,5,4,0.02536,0.4,0.4,0.2,1.9219,5,False
Node030,1,4,5,0.00102,0.2,0.4,0.2,2.3219,4,False
Node030,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,False
Node030,4,1,3,0.00239,0.6,1.0,0.0,1.371,5,False
Node030,0,5,4,0.02328,0.4,0.0,0.2,1.9219,4,False
Node030,0,5,4,0.00053,0.4,0.2,0.0,1.9219,5,False
Node030,4,1,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node030,5,0,4,0.0,0.4,0.2,0.6,1.9219,5,False
Node030,1,4,5,0.00042,0.2,0.2,0.4,2.3219,4,False
Node030,0,5,3,0.00045,0.6,0.2,0.2,1.371,4,False
