node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil008,0,0,0,5,0,5,5,0.00041,True
Sybil008,0,0,0,5,0,5,4,0.0,True
Sybil008,1,1,0,4,1,3,4,0.00042,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,2,2,0,3,0,3,4,0.02262,True
Sybil008,0,0,0,5,0,5,4,0.00051,True
Sybil008,2,2,0,3,3,0,2,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,3,3,0,2,0,2,2,0.02747,True
Sybil008,0,0,0,5,0,5,5,0.0005,True
Sybil008,2,2,0,3,2,1,3,0.00043,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,4,4,0,1,0,1,2,0.027,True
Sybil008,0,0,0,5,0,5,5,0.0004,True
Sybil008,0,0,0,5,0,5,5,0.0005,True
Sybil008,2,2,0,3,2,1,3,0.00043,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,0,0,0,5,0,5,4,0.00041,True
Sybil008,2,2,0,3,1,2,3,0.0005,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
Sybil008,5,5,0,0,0,0,1,0.0,True
