node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node010,4,1,5,0.00065,0.2,0.4,0.4,2.3219,5,False
Node010,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node010,1,4,4,0.00044,0.4,0.0,0.8,1.9219,5,False
Node010,0,5,4,0.02303,0.4,0.2,0.4,1.9219,5,False
Node010,3,2,3,0.00043,0.4,0.2,0.4,1.5219,5,False
Node010,5,0,5,0.0,0.2,0.4,0.0,2.3219,5,False
Node010,2,3,5,0.00043,0.2,0.0,0.4,2.3219,4,False
Node010,0,5,5,0.00036,0.2,0.2,0.4,2.3219,5,False
Node010,0,5,3,0.02557,0.4,0.0,0.6,1.5219,5,False
Node010,5,0,4,0.0,0.4,0.6,0.0,1.9219,5,False
Node010,5,0,4,0.0,0.4,0.2,0.4,1.9219,4,False
Node010,0,5,4,0.0,0.4,0.0,0.6,1.9219,3,False
Node010,0,5,5,0.00043,0.2,0.4,0.2,2.3219,5,False
Node010,3,2,5,0.0255,0.2,0.0,0.2,2.3219,4,False
Node010,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node010,2,3,5,0.0006,0.2,0.4,0.4,2.3219,4,False
Node010,0,5,3,0.00143,0.6,0.0,0.0,1.371,5,False
Node010,0,5,5,0.00043,0.2,0.2,0.2,2.3219,4,False
Node010,4,1,3,0.0,0.4,0.2,0.0,1.5219,5,False
Node010,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node010,1,4,4,0.00053,0.4,0.0,0.4,1.9219,4,False
Node010,0,5,4,0.00069,0.4,0.2,0.2,1.9219,5,False
