node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node013,2,3,5,0.00065,0.2,0.0,0.4,2.3219,5,False
Node013,5,0,5,0.0,0.2,0.0,0.4,2.3219,5,False
Node013,3,2,4,0.0,0.4,0.4,0.4,1.9219,5,False
Node013,0,5,4,0.00051,0.4,0.2,0.0,1.9219,5,False
Node013,0,5,3,0.02317,0.4,0.0,0.2,1.5219,5,False
Node013,2,3,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node013,5,0,4,0.0,0.4,0.0,0.8,1.9219,5,False
Node013,3,2,5,0.00065,0.2,0.0,0.2,2.3219,5,False
Node013,0,5,4,0.00044,0.4,0.0,0.4,1.9219,5,False
Node013,0,5,4,0.00025,0.4,0.0,0.6,1.9219,5,False
Node013,1,4,4,0.0,0.4,0.2,0.4,1.9219,3,False
Node013,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,False
Node013,4,1,4,0.00055,0.4,0.2,0.0,1.9219,5,False
Node013,0,5,4,0.00043,0.4,0.0,0.4,1.9219,5,False
Node013,2,3,4,0.02531,0.4,0.2,0.0,1.9219,5,False
Node013,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,False
Node013,3,2,3,0.0,0.4,0.0,0.4,1.5219,5,False
Node013,0,5,5,0.00172,0.2,0.2,0.4,2.3219,5,False
Node013,2,3,4,0.02327,0.4,0.0,0.2,1.9219,5,False
Node013,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node013,3,2,4,0.0,0.4,0.2,0.6,1.9219,5,False
Node013,0,5,5,0.00114,0.2,0.0,0.6,2.3219,4,False
