node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil005,0,0,0,5,0,5,4,0.0005,True
Sybil005,3,3,0,2,0,2,3,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.00042,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,1,1,0,4,0,4,5,0.02205,True
Sybil005,0,0,0,5,0,5,4,0.0005,True
Sybil005,1,1,0,4,2,2,3,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,4,4,0,1,1,0,2,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,1,1,0,4,0,4,5,0.02747,True
Sybil005,0,0,0,5,1,4,4,0.00083,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,3,3,0,2,2,0,2,0.0,True
Sybil005,3,3,0,2,0,2,3,0.027,True
Sybil005,0,0,0,5,0,5,4,0.0005,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,4,4,0,1,1,0,2,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,2,2,0,3,0,3,4,0.02464,True
Sybil005,0,0,0,5,0,5,4,0.00043,True
Sybil005,1,1,0,4,3,1,3,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.00043,True
Sybil005,5,5,0,0,0,0,1,0.0,True
Sybil005,5,5,0,0,0,0,1,0.0,True
