node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node028,1,4,5,0.00044,0.2,0.4,0.0,2.3219,5,False
Node028,5,0,4,0.0,0.4,0.0,0.4,1.9219,4,False
Node028,4,1,3,0.0,0.4,0.4,0.4,1.5219,5,False
Node028,0,5,5,0.00044,0.2,0.2,0.2,2.3219,5,False
Node028,0,5,4,0.02289,0.4,0.0,0.4,1.9219,4,False
Node028,4,1,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node028,5,0,5,0.00022,0.2,0.2,0.2,2.3219,5,False
Node028,1,4,5,0.00044,0.2,0.2,0.2,2.3219,5,False
Node028,0,5,5,0.02593,0.2,0.2,0.2,2.3219,5,False
Node028,0,5,4,0.00055,0.4,0.0,0.0,1.9219,5,False
Node028,5,0,5,0.0,0.2,0.0,0.6,2.3219,5,False
Node028,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,False
Node028,0,5,4,0.00043,0.4,0.0,0.2,1.9219,4,False
Node028,0,5,4,0.02536,0.4,0.2,0.6,1.9219,4,False
Node028,3,2,4,0.00043,0.4,0.0,0.6,1.9219,5,False
Node028,5,0,4,0.0,0.4,0.4,0.2,1.9219,4,False
Node028,2,3,5,0.0013,0.2,0.2,0.2,2.3219,4,False
Node028,0,5,4,0.0239,0.4,0.2,0.6,1.9219,3,False
Node028,2,3,4,0.0,0.4,0.2,0.0,1.9219,5,False
Node028,5,0,3,0.0,0.4,0.2,0.4,1.5219,5,False
Node028,3,2,4,0.00069,0.4,0.4,0.0,1.9219,4,False
