node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil007,0,0,0,5,0,5,5,0.00041,True
Sybil007,1,1,0,4,0,4,4,0.00051,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,4,4,0,1,1,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,3,3,0,2,0,2,4,0.02219,True
Sybil007,0,0,0,5,0,5,5,0.0005,True
Sybil007,0,0,0,5,0,5,4,0.0,True
Sybil007,2,2,0,3,1,2,5,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.00044,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,2,2,0,3,0,3,4,0.02747,True
Sybil007,0,0,0,5,0,5,4,0.0005,True
Sybil007,0,0,0,5,2,3,4,0.0,True
Sybil007,4,4,0,1,1,0,3,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,2,2,0,3,0,3,4,0.02687,True
Sybil007,0,0,0,5,0,5,4,0.0005,True
Sybil007,4,4,0,1,1,0,2,0.00043,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,2,2,0,3,0,3,4,0.02423,True
Sybil007,5,5,0,0,0,0,2,0.0,True
Sybil007,4,4,0,1,1,0,2,0.0,True
Sybil007,5,5,0,0,0,0,2,0.0,True
