node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node044,0,5,5,0.00065,0.2,0.2,0.4,2.3219,4,False
Node044,5,0,3,0.0,0.4,0.2,0.4,1.5219,5,False
Node044,5,0,4,0.0,0.4,0.4,0.4,1.9219,5,False
Node044,0,5,4,0.02303,0.4,0.4,0.2,1.9219,4,False
Node044,1,4,5,0.00042,0.2,0.0,0.2,2.3219,5,False
Node044,5,0,4,0.0,0.4,0.0,0.0,1.9219,5,False
Node044,4,1,4,0.0,0.4,0.6,0.0,1.9219,4,False
Node044,0,5,5,0.02527,0.2,0.2,0.2,2.3219,5,False
Node044,0,5,5,0.00058,0.2,0.2,0.4,2.3219,4,False
Node044,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,False
Node044,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,False
Node044,0,5,3,0.00043,0.6,0.0,0.2,1.371,4,False
Node044,0,5,5,0.00059,0.2,0.0,0.2,2.3219,4,False
Node044,0,5,5,0.00043,0.2,0.2,0.4,2.3219,4,False
Node044,2,3,5,0.00152,0.2,0.2,0.2,2.3219,5,False
Node044,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,False
Node044,3,2,5,0.00087,0.2,0.2,0.4,2.3219,5,False
Node044,0,5,5,0.02313,0.2,0.0,0.2,2.3219,5,False
Node044,0,5,5,0.00047,0.2,0.2,0.4,2.3219,5,False
Node044,1,4,4,0.00082,0.4,0.2,0.2,1.9219,5,False
Node044,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,False
Node044,4,1,3,0.0,0.4,0.2,0.0,1.5219,5,False
Node044,0,5,4,0.00046,0.4,0.2,0.4,1.9219,5,False
