node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,timing_entropy,latency_cv,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,findnode_ratio,enr_message_ratio,latency_spike_ratio,energy_variance,peer_overlap_ratio,degree_centrality,is_sybil
Node027_Sybil01,1,4,5,0.02688,0.2,0.2,0.2,2.3219,1.3788,0.5912,5,74.06,811.8,60.9,1.0,0.2,0.0,0.0,343.9862,1.0,191,True
Node041,0,5,5,0.00143,0.2,0.0,0.2,2.3219,1.5567,1.067,5,82.6,1510.0,53.91,1.0,0.2,0.2,0.0,223.5927,1.0,182,False
Node002_Sybil01,0,5,4,0.00109,0.4,0.0,0.0,1.9219,1.3788,0.681,5,156.88,706.0,67.49,1.0,0.0,0.2,0.2,331.7197,1.0,185,True
Node014_Sybil00,5,0,3,0.0,0.4,0.0,0.4,1.5219,1.1488,0.4441,5,21.85,1362.2,49.96,1.0,0.4,0.4,0.0,46.55,1.0,191,True
Node041,3,2,5,0.00083,0.2,0.0,0.2,2.3219,1.5567,0.2901,5,204.78,1204.4,79.44,1.0,0.2,0.2,0.2,50.3439,1.0,182,False
Node021,1,4,4,0.00071,0.4,0.2,0.2,1.9219,1.5567,0.6659,5,171.14,1369.0,66.17,1.0,0.2,0.0,0.4,583.8015,1.0,201,False
Node009_Sybil00,5,0,2,0.0,0.6,0.6,0.0,0.971,1.1488,0.4391,5,27.87,959.4,47.79,1.0,0.0,0.0,0.0,215.3481,1.0,182,True
Node021,5,0,4,0.0,0.4,0.0,0.6,1.9219,1.1488,0.2929,5,215.2,1366.0,78.99,1.0,0.2,0.2,0.4,239.9566,1.0,201,False
Node026,5,0,5,0.0,0.2,0.0,0.4,2.3219,1.1488,0.1082,5,247.42,937.0,75.35,1.0,0.2,0.2,0.4,200.0694,1.0,197,False
Node047_Sybil01,2,3,2,0.0231,0.6,0.4,0.0,0.971,1.3788,0.3509,5,28.45,1093.6,49.61,1.0,0.0,0.0,0.0,173.1539,1.0,185,True
Node026,0,5,4,0.02412,0.4,0.2,0.0,1.9219,1.3788,1.2905,5,65.9,1090.2,49.8,1.0,0.0,0.0,0.0,144.4841,1.0,197,False
Node022_Sybil01,4,1,2,0.0013,0.8,1.0,0.0,0.7219,1.3788,0.5895,5,22.24,1293.6,38.99,1.0,0.0,0.0,0.0,83.1726,1.0,190,True
Node016,2,3,5,0.00083,0.2,0.2,0.4,2.3219,1.5567,0.7472,5,139.15,1327.2,74.55,1.0,0.2,0.0,0.2,179.1298,1.0,184,False
Node001,4,1,5,0.0,0.2,0.2,0.2,2.3219,1.1488,0.4554,5,135.74,1470.2,73.66,1.0,0.2,0.0,0.0,229.4996,1.0,181,False
Node002_Sybil01,0,5,5,0.00166,0.2,0.2,0.0,2.3219,1.5567,0.8443,5,79.84,1198.4,71.67,1.0,0.0,0.2,0.0,21.3371,1.0,185,True
Node031,5,0,4,0.0,0.4,0.2,0.6,1.9219,1.1488,0.3061,5,189.77,748.0,85.11,1.0,0.0,0.0,0.2,16.0181,1.0,188,False
Node021,0,5,4,0.02731,0.4,0.0,0.2,1.9219,1.3788,0.93,5,112.75,943.8,63.05,1.0,0.0,0.0,0.2,179.1458,1.0,201,False
Node011,0,5,4,0.00048,0.4,0.2,0.2,1.9219,1.3788,0.4438,4,28.85,1233.8,57.02,1.0,0.0,0.4,0.0,141.2196,0.8,183,False
Node037_Sybil01,0,5,5,0.0248,0.2,0.0,0.4,2.3219,1.3788,0.9316,5,112.66,861.2,58.8,1.0,0.2,0.2,0.2,573.4052,1.0,188,True
Node001,4,1,5,0.02723,0.2,0.0,0.2,2.3219,1.3788,0.4755,5,132.7,1382.2,74.01,1.0,0.0,0.2,0.0,415.3426,1.0,181,False
Node011,2,3,4,0.0009,0.4,0.4,0.0,1.9219,1.3788,1.0145,4,128.81,1354.6,57.23,1.0,0.0,0.0,0.4,178.2497,0.8,183,False
