node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,timing_entropy,latency_cv,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,findnode_ratio,enr_message_ratio,latency_spike_ratio,energy_variance,peer_overlap_ratio,degree_centrality,is_sybil
Node012,0,5,4,0.0224,0.4,0.4,0.2,1.9219,1.3788,0.7573,5,97.65,939.6,64.45,1.0,0.2,0.0,0.0,178.4079,1.0,183,False
Node043_Sybil01,5,0,3,0.0,0.4,0.0,0.4,1.5219,1.1488,0.258,5,24.44,1157.4,48.59,1.0,0.4,0.4,0.0,163.1365,1.0,198,True
Node020_Sybil00,5,0,2,0.0,0.8,0.8,0.0,0.7219,1.1488,0.3013,5,39.04,1188.4,45.34,1.0,0.0,0.0,0.0,80.1657,1.0,193,True
Node002,5,0,5,0.0,0.2,0.2,0.4,2.3219,1.1488,0.2972,5,191.47,1184.6,77.72,1.0,0.4,0.2,0.2,148.7462,1.0,199,False
Node010_Sybil00,1,4,5,0.02735,0.2,0.0,0.4,2.3219,1.3788,1.0137,5,101.64,832.2,61.86,1.0,0.2,0.2,0.0,408.1283,1.0,182,True
Node012,0,5,4,0.02484,0.4,0.2,0.4,1.9219,1.3788,1.0229,5,76.27,1043.8,65.32,1.0,0.0,0.4,0.0,249.7715,1.0,183,False
Node000_Sybil00,4,1,3,0.02767,0.6,0.8,0.0,1.371,1.3788,1.137,5,74.03,1161.2,52.09,1.0,0.0,0.0,0.0,182.5993,1.0,189,True
Node003_Sybil01,0,5,4,0.02397,0.4,0.0,0.2,1.9219,1.3788,0.8333,3,56.94,1287.8,58.82,1.0,0.2,0.0,0.0,440.5459,0.6,183,True
Node023_Sybil01,5,0,3,0.0,0.4,0.0,0.4,1.5219,1.1488,0.6177,5,25.68,1102.4,51.55,1.0,0.4,0.2,0.0,17.2157,1.0,181,True
Node000_Sybil00,1,4,4,0.02436,0.4,0.0,0.2,1.9219,1.3788,0.5573,4,25.56,1565.6,53.78,1.0,0.0,0.0,0.0,34.0946,0.8,189,True
Node033_Sybil01,5,0,3,0.0,0.4,0.0,0.4,1.5219,1.1488,0.4916,5,22.62,911.6,55.48,1.0,0.4,0.2,0.0,78.0203,1.0,188,True
Node045_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,1.1488,0.4503,5,26.8,1204.6,57.26,1.0,0.0,0.0,0.0,126.824,1.0,184,True
Node047,0,5,5,0.00071,0.2,0.4,0.2,2.3219,1.5567,0.8032,5,121.77,869.6,74.89,1.0,0.0,0.2,0.2,530.5383,1.0,202,False
Node017,2,3,4,0.00083,0.4,0.0,0.4,1.9219,1.5567,0.8349,5,116.27,1280.4,66.53,1.0,0.4,0.2,0.2,180.0695,1.0,185,False
Node000_Sybil00,5,0,5,0.0,0.2,0.6,0.0,2.3219,1.1488,0.406,5,28.6,1156.8,50.43,1.0,0.0,0.0,0.0,112.6645,1.0,189,True
Node042,1,4,3,0.02224,0.4,0.2,0.0,1.5219,1.3788,1.2073,5,57.91,1388.4,48.16,1.0,0.0,0.4,0.0,232.6049,1.0,195,False
Node028_Sybil01,2,3,2,0.00083,0.6,0.0,0.4,0.971,1.5567,1.3596,5,69.71,1134.8,54.23,1.0,0.4,0.0,0.2,174.5696,1.0,196,True
Node047,5,0,4,0.0,0.4,0.6,0.2,1.9219,1.1488,0.3698,5,159.03,1296.8,75.58,1.0,0.0,0.0,0.2,183.1152,1.0,202,False
Node032,0,5,5,0.02196,0.2,0.4,0.0,2.3219,1.3788,1.3129,5,75.94,1152.8,48.12,1.0,0.0,0.2,0.2,573.7231,1.0,207,False
Node000_Sybil00,5,0,4,0.0,0.4,0.4,0.0,1.9219,1.1488,0.1705,5,41.46,1350.4,48.67,1.0,0.0,0.0,0.0,174.1251,1.0,189,True
Node027,0,5,5,0.00085,0.2,0.2,0.2,2.3219,1.4488,1.0939,5,68.04,1362.4,54.97,1.0,0.0,0.2,0.0,126.3309,1.0,201,False
Node018_Sybil01,2,3,3,0.00043,0.6,0.2,0.0,1.371,1.3788,0.5188,5,25.12,749.0,47.89,1.0,0.0,0.0,0.0,128.7046,1.0,192,True
Node032,2,3,4,0.00245,0.4,0.4,0.2,1.9219,1.5567,0.7703,5,152.9,720.4,70.92,1.0,0.2,0.0,0.4,135.4983,1.0,207,False
Node017,2,3,5,0.02957,0.2,0.4,0.2,2.3219,1.3788,0.4059,4,243.85,1193.8,74.61,1.0,0.0,0.2,0.8,285.9902,0.8,185,False
Node005_Sybil00,5,0,2,0.0,0.6,0.6,0.0,0.971,1.1488,0.204,5,36.24,1091.4,52.31,1.0,0.0,0.0,0.0,87.8025,1.0,193,True
Node032,5,0,5,0.0,0.2,0.2,0.4,2.3219,1.1488,0.296,5,189.66,1524.6,81.36,1.0,0.2,0.2,0.2,122.3716,1.0,207,False
Node030_Sybil00,3,2,3,0.00164,0.6,0.6,0.2,1.371,1.3788,0.3613,5,31.82,1249.0,49.76,1.0,0.2,0.0,0.0,218.8386,1.0,186,True
Node037,0,5,4,0.00043,0.4,0.2,0.0,1.9219,1.3788,0.8079,4,68.35,1115.0,59.77,1.0,0.0,0.4,0.0,93.0781,0.8,194,False
Node022,5,0,3,0.0,0.4,0.0,0.0,1.5219,1.1488,0.1781,5,200.01,1312.0,75.0,1.0,0.0,0.6,0.2,200.6717,1.0,190,False
Node017,0,5,4,0.02472,0.4,0.2,0.8,1.9219,1.3788,1.4341,5,65.77,1367.0,54.37,1.0,0.4,0.0,0.2,177.5443,1.0,185,False
