Round 1, Epoch 1, Train Loss: 0.6782, Train Acc: 0.6320, Val Loss: 0.6922, Val Acc: 0.5689
Round 1, Epoch 2, Train Loss: 0.6600, Train Acc: 0.6620, Val Loss: 0.6915, Val Acc: 0.5689
Round 1, Epoch 3, Train Loss: 0.6435, Train Acc: 0.6700, Val Loss: 0.6905, Val Acc: 0.5868
Round 1, Epoch 4, Train Loss: 0.6297, Train Acc: 0.6840, Val Loss: 0.6891, Val Acc: 0.5988
Round 1, Epoch 5, Train Loss: 0.6194, Train Acc: 0.7060, Val Loss: 0.6875, Val Acc: 0.6108
Round 1, Epoch 6, Train Loss: 0.6097, Train Acc: 0.6860, Val Loss: 0.6857, Val Acc: 0.6108
Round 1, Epoch 7, Train Loss: 0.5972, Train Acc: 0.7000, Val Loss: 0.6834, Val Acc: 0.6228
Round 1, Epoch 8, Train Loss: 0.5880, Train Acc: 0.7000, Val Loss: 0.6807, Val Acc: 0.6228
Round 1, Epoch 9, Train Loss: 0.5824, Train Acc: 0.7040, Val Loss: 0.6775, Val Acc: 0.6287
Round 1, Epoch 10, Train Loss: 0.5707, Train Acc: 0.7040, Val Loss: 0.6739, Val Acc: 0.6228
Round 1, Epoch 11, Train Loss: 0.5650, Train Acc: 0.7020, Val Loss: 0.6700, Val Acc: 0.6228
Round 1, Epoch 12, Train Loss: 0.5593, Train Acc: 0.7060, Val Loss: 0.6656, Val Acc: 0.6287
Round 1, Epoch 13, Train Loss: 0.5519, Train Acc: 0.6960, Val Loss: 0.6610, Val Acc: 0.6347
Round 1, Epoch 14, Train Loss: 0.5438, Train Acc: 0.7140, Val Loss: 0.6561, Val Acc: 0.6347
Round 1, Epoch 15, Train Loss: 0.5332, Train Acc: 0.7180, Val Loss: 0.6507, Val Acc: 0.6347
Round 1, Epoch 16, Train Loss: 0.5282, Train Acc: 0.7120, Val Loss: 0.6447, Val Acc: 0.6347
Round 1, Epoch 17, Train Loss: 0.5235, Train Acc: 0.7180, Val Loss: 0.6381, Val Acc: 0.6467
Round 1, Epoch 18, Train Loss: 0.5181, Train Acc: 0.7260, Val Loss: 0.6310, Val Acc: 0.6467
Round 1, Epoch 19, Train Loss: 0.5069, Train Acc: 0.7240, Val Loss: 0.6234, Val Acc: 0.6467
Round 1, Epoch 20, Train Loss: 0.5035, Train Acc: 0.7240, Val Loss: 0.6152, Val Acc: 0.6467
Round 1, Epoch 21, Train Loss: 0.4964, Train Acc: 0.7340, Val Loss: 0.6066, Val Acc: 0.6707
Round 1, Epoch 22, Train Loss: 0.4898, Train Acc: 0.7340, Val Loss: 0.5979, Val Acc: 0.6707
Round 1, Epoch 23, Train Loss: 0.4819, Train Acc: 0.7420, Val Loss: 0.5891, Val Acc: 0.6647
Round 1, Epoch 24, Train Loss: 0.4744, Train Acc: 0.7480, Val Loss: 0.5803, Val Acc: 0.6707
Round 1, Epoch 25, Train Loss: 0.4705, Train Acc: 0.7540, Val Loss: 0.5715, Val Acc: 0.6647
Round 1, Epoch 26, Train Loss: 0.4674, Train Acc: 0.7440, Val Loss: 0.5628, Val Acc: 0.6647
Round 1, Epoch 27, Train Loss: 0.4599, Train Acc: 0.7540, Val Loss: 0.5544, Val Acc: 0.6707
Round 1, Epoch 28, Train Loss: 0.4549, Train Acc: 0.7500, Val Loss: 0.5464, Val Acc: 0.6707
Round 1, Epoch 29, Train Loss: 0.4435, Train Acc: 0.7600, Val Loss: 0.5388, Val Acc: 0.6766
Round 1, Epoch 30, Train Loss: 0.4431, Train Acc: 0.7520, Val Loss: 0.5317, Val Acc: 0.6886
Round 1, Epoch 31, Train Loss: 0.4387, Train Acc: 0.7640, Val Loss: 0.5249, Val Acc: 0.6946
Round 1, Epoch 32, Train Loss: 0.4304, Train Acc: 0.7720, Val Loss: 0.5181, Val Acc: 0.6946
Round 1, Epoch 33, Train Loss: 0.4257, Train Acc: 0.7640, Val Loss: 0.5114, Val Acc: 0.7006
Round 1, Epoch 34, Train Loss: 0.4186, Train Acc: 0.7800, Val Loss: 0.5048, Val Acc: 0.7066
Round 1, Epoch 35, Train Loss: 0.4158, Train Acc: 0.7720, Val Loss: 0.4987, Val Acc: 0.6946
Round 1, Epoch 36, Train Loss: 0.4138, Train Acc: 0.7760, Val Loss: 0.4928, Val Acc: 0.6946
Round 1, Epoch 37, Train Loss: 0.4043, Train Acc: 0.7900, Val Loss: 0.4872, Val Acc: 0.7006
Round 1, Epoch 38, Train Loss: 0.4037, Train Acc: 0.7880, Val Loss: 0.4818, Val Acc: 0.7126
Round 1, Epoch 39, Train Loss: 0.3985, Train Acc: 0.8060, Val Loss: 0.4762, Val Acc: 0.7066
Round 1, Epoch 40, Train Loss: 0.3976, Train Acc: 0.7840, Val Loss: 0.4708, Val Acc: 0.7186
Round 1, Epoch 41, Train Loss: 0.3911, Train Acc: 0.8060, Val Loss: 0.4659, Val Acc: 0.7305
Round 1, Epoch 42, Train Loss: 0.3916, Train Acc: 0.7820, Val Loss: 0.4620, Val Acc: 0.7305
Round 1, Epoch 43, Train Loss: 0.3823, Train Acc: 0.8000, Val Loss: 0.4590, Val Acc: 0.7485
Round 1, Epoch 44, Train Loss: 0.3789, Train Acc: 0.8100, Val Loss: 0.4562, Val Acc: 0.7305
Round 1, Epoch 45, Train Loss: 0.3726, Train Acc: 0.8040, Val Loss: 0.4536, Val Acc: 0.7305
Round 1, Epoch 46, Train Loss: 0.3663, Train Acc: 0.8160, Val Loss: 0.4503, Val Acc: 0.7365
Round 1, Epoch 47, Train Loss: 0.3749, Train Acc: 0.7880, Val Loss: 0.4470, Val Acc: 0.7305
Round 1, Epoch 48, Train Loss: 0.3712, Train Acc: 0.7980, Val Loss: 0.4448, Val Acc: 0.7246
Round 1, Epoch 49, Train Loss: 0.3556, Train Acc: 0.8160, Val Loss: 0.4435, Val Acc: 0.7485
Round 1, Epoch 50, Train Loss: 0.3642, Train Acc: 0.8120, Val Loss: 0.4438, Val Acc: 0.7545
Round 1, Epoch 51, Train Loss: 0.3669, Train Acc: 0.8060, Val Loss: 0.4438, Val Acc: 0.7545
Round 1, Epoch 52, Train Loss: 0.3549, Train Acc: 0.8080, Val Loss: 0.4429, Val Acc: 0.7545
