Run directory: logs/DL\run_25-05-19_13-32-23
Epoch 001/100 | Train L 0.3733 A 0.8357 | Val   L 0.2113 A 0.9130 | LR 0.005000
Epoch 002/100 | Train L 0.1878 A 0.9210 | Val   L 0.1715 A 0.9221 | LR 0.005000
Epoch 003/100 | Train L 0.1678 A 0.9281 | Val   L 0.1901 A 0.9172 | LR 0.005000
Epoch 004/100 | Train L 0.1529 A 0.9327 | Val   L 0.1600 A 0.9322 | LR 0.005000
Epoch 005/100 | Train L 0.1503 A 0.9331 | Val   L 0.1616 A 0.9259 | LR 0.005000
Epoch 006/100 | Train L 0.1471 A 0.9328 | Val   L 0.1522 A 0.9315 | LR 0.005000
Epoch 007/100 | Train L 0.1384 A 0.9383 | Val   L 0.1450 A 0.9363 | LR 0.005000
Epoch 008/100 | Train L 0.1353 A 0.9368 | Val   L 0.1470 A 0.9357 | LR 0.005000
Epoch 009/100 | Train L 0.1301 A 0.9410 | Val   L 0.1548 A 0.9315 | LR 0.005000
Epoch 010/100 | Train L 0.1250 A 0.9425 | Val   L 0.1586 A 0.9308 | LR 0.005000
Epoch 011/100 | Train L 0.1279 A 0.9405 | Val   L 0.1493 A 0.9294 | LR 0.005000
Epoch 012/100 | Train L 0.1273 A 0.9421 | Val   L 0.1518 A 0.9329 | LR 0.005000
Epoch 013/100 | Train L 0.1195 A 0.9442 | Val   L 0.1566 A 0.9280 | LR 0.005000
Epoch 014/100 | Train L 0.1218 A 0.9437 | Val   L 0.1562 A 0.9266 | LR 0.002000
Epoch 015/100 | Train L 0.1080 A 0.9491 | Val   L 0.1509 A 0.9280 | LR 0.002000
Epoch 016/100 | Train L 0.1014 A 0.9493 | Val   L 0.1580 A 0.9325 | LR 0.002000
Epoch 017/100 | Train L 0.0960 A 0.9540 | Val   L 0.1680 A 0.9325 | LR 0.002000
Epoch 018/100 | Train L 0.0952 A 0.9546 | Val   L 0.1702 A 0.9294 | LR 0.002000
Epoch 019/100 | Train L 0.0942 A 0.9544 | Val   L 0.1643 A 0.9287 | LR 0.002000
Epoch 020/100 | Train L 0.0950 A 0.9553 | Val   L 0.1604 A 0.9315 | LR 0.002000
Epoch 021/100 | Train L 0.0928 A 0.9560 | Val   L 0.1578 A 0.9308 | LR 0.000800
Epoch 022/100 | Train L 0.0829 A 0.9610 | Val   L 0.1760 A 0.9308 | LR 0.000800
Epoch 023/100 | Train L 0.0821 A 0.9612 | Val   L 0.1782 A 0.9311 | LR 0.000800
Epoch 024/100 | Train L 0.0782 A 0.9636 | Val   L 0.1789 A 0.9294 | LR 0.000800
Epoch 025/100 | Train L 0.0738 A 0.9651 | Val   L 0.1879 A 0.9301 | LR 0.000800
Epoch 026/100 | Train L 0.0756 A 0.9647 | Val   L 0.1902 A 0.9280 | LR 0.000800
Epoch 027/100 | Train L 0.0722 A 0.9664 | Val   L 0.1976 A 0.9297 | LR 0.000800
