node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node025,1,4,4,0.00268,0.4,0.2,0.2,1.9219,5,155.98,1156.4,76.36,1.0,0.0,435.3412,1.0,False
Node023_Sybil00,0,5,4,0.00361,0.4,0.6,0.0,1.9219,5,48.85,999.4,57.8,1.0,0.0,147.458,1.0,True
Node010,0,5,4,0.00094,0.4,0.2,0.6,1.9219,5,162.7,943.0,75.94,1.0,0.4,184.5887,1.0,False
Node003_Sybil00,5,0,2,0.00087,0.8,0.8,0.0,0.7219,5,31.16,1133.4,49.14,1.0,0.0,154.0997,1.0,True
Node038_Sybil00,5,0,2,0.0,0.8,0.0,0.2,0.7219,5,23.89,947.6,50.5,1.0,0.0,51.9381,1.0,True
Node033_Sybil00,0,5,4,0.00087,0.4,0.0,0.6,1.9219,5,42.31,988.0,50.12,1.0,0.0,308.4501,1.0,True
Node020,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,169.72,1054.2,82.11,1.0,0.0,104.9036,1.0,False
Node035,0,5,3,0.00533,0.4,0.4,0.2,1.5219,5,80.58,1545.8,56.37,1.0,0.0,346.0122,1.0,False
Node035,0,5,4,0.00087,0.4,0.2,0.2,1.9219,5,143.83,772.8,58.34,1.0,0.2,206.3291,1.0,False
Node001_Sybil01,0,5,4,0.00087,0.4,0.4,0.0,1.9219,5,81.47,1230.0,56.86,1.0,0.0,543.5066,1.0,True
Node015,3,2,4,0.0,0.4,0.0,0.2,1.9219,5,204.62,1274.0,74.36,1.0,0.4,243.8438,1.0,False
Node026_Sybil01,4,1,3,0.00174,0.4,0.0,0.4,1.5219,4,69.17,746.0,50.45,1.0,0.0,60.976,0.8,True
