node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node040,9,0,9,26,15,11,5,8.5,False
Node040,9,0,9,26,13,13,6,8.5,False
Node040,9,0,9,26,18,8,4,8.5,False
Node040,9,0,9,26,21,5,5,8.5,False
Node040,9,0,9,26,15,11,5,8.5,False
Node040,3,0,3,2,1,1,4,0.00044,False
Node040,1,0,1,4,2,2,3,0.00043,False
Node040,0,0,0,5,3,2,5,0.00044,False
Node040,0,0,0,5,3,2,4,0.0,False
Node040,3,0,3,2,0,2,5,0.0,False
Node040,2,0,2,3,3,0,5,0.00041,False
Node040,0,0,0,5,4,1,4,0.00042,False
