node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node028,8,0,8,21,17,4,4,6.5,False
Node028,8,0,8,21,16,5,4,6.5,False
Node028,8,0,8,21,18,3,5,6.5,False
Node028,8,0,8,21,17,4,4,6.5,False
Node028,8,0,8,21,18,3,6,6.5,False
Node028,1,0,1,4,2,2,5,0.00044,False
Node028,1,0,1,4,3,1,4,0.00043,False
Node028,2,0,2,3,3,0,5,0.00044,False
Node028,1,0,1,4,3,1,4,0.00051,False
Node028,3,0,3,2,2,0,5,0.00042,False
