node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil004,10,0,10,25,21,4,5,7.5,True
Sybil004,10,0,10,25,19,6,3,7.5,True
Sybil004,10,0,10,25,16,9,4,7.5,True
Sybil004,10,0,10,25,19,6,5,7.5,True
Sybil004,10,0,10,25,16,9,5,7.5,True
Sybil004,5,5,0,0,0,0,3,0.00044,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,3,0.0,True
Sybil004,5,5,0,0,0,0,3,0.0,True
Sybil004,5,5,0,0,0,0,2,0.00043,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,3,0.0,True
Sybil004,5,5,0,0,0,0,3,0.00047,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,4,4,0,1,1,0,4,0.00041,True
Sybil004,5,5,0,0,0,0,3,0.0,True
Sybil004,5,5,0,0,0,0,3,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,2,0.0,True
Sybil004,5,5,0,0,0,0,3,0.0,True
