node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
Sybil000,3,0,3,2,1,1,5,0.03915,True
