node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node031,0,0,0,5,0,5,5,0.00041,False
Node031,4,0,4,1,0,1,4,0.0,False
Node031,5,0,5,0,0,0,5,0.0,False
Node031,1,0,1,4,0,4,5,0.00046,False
Node031,0,0,0,5,3,2,4,0.00042,False
Node031,1,0,1,4,0,4,5,0.00043,False
Node031,5,0,5,0,0,0,4,0.0,False
Node031,4,0,4,1,0,1,5,0.00043,False
Node031,0,0,0,5,5,0,3,0.00044,False
Node031,2,0,2,3,0,3,5,0.00049,False
Node031,5,0,5,0,0,0,4,0.0,False
Node031,3,0,3,2,1,1,5,0.00043,False
Node031,0,0,0,5,3,2,4,0.02673,False
Node031,1,0,1,4,0,4,4,0.0,False
Node031,5,0,5,0,0,0,5,0.00043,False
Node031,4,0,4,1,0,1,4,0.00043,False
Node031,0,0,0,5,3,2,3,0.02464,False
Node031,2,0,2,3,0,3,3,0.0,False
Node031,5,0,5,0,0,0,4,0.0,False
Node031,3,0,3,2,1,1,3,0.0005,False
