node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Sybil060,3,0,3,2,2,0,5,0.19621,False
Sybil061,3,0,3,2,2,0,5,0.19621,False
Sybil062,3,0,3,2,2,0,5,0.19621,False
Sybil063,3,0,3,2,2,0,5,0.19621,False
Sybil064,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Sybil060,3,0,3,2,2,0,5,0.19621,False
Sybil061,3,0,3,2,2,0,5,0.19621,False
Sybil062,3,0,3,2,2,0,5,0.19621,False
Sybil063,3,0,3,2,2,0,5,0.19621,False
Sybil064,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Sybil060,3,0,3,2,2,0,5,0.19621,False
Sybil061,3,0,3,2,2,0,5,0.19621,False
Sybil062,3,0,3,2,2,0,5,0.19621,False
Sybil063,3,0,3,2,2,0,5,0.19621,False
Sybil064,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Sybil060,3,0,3,2,2,0,5,0.19621,False
Sybil061,3,0,3,2,2,0,5,0.19621,False
Sybil062,3,0,3,2,2,0,5,0.19621,False
Sybil063,3,0,3,2,2,0,5,0.19621,False
Sybil064,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Node012,3,0,3,2,2,0,5,0.19621,False
Sybil060,3,0,3,2,2,0,5,0.19621,False
Sybil061,3,0,3,2,2,0,5,0.19621,False
Sybil062,3,0,3,2,2,0,5,0.19621,False
Sybil063,3,0,3,2,2,0,5,0.19621,False
Sybil064,3,0,3,2,2,0,5,0.19621,False
Sybil060,3,0,3,2,2,0,5,0.19621,True
Sybil061,3,0,3,2,2,0,5,0.19621,True
Sybil062,3,0,3,2,2,0,5,0.19621,True
Sybil063,3,0,3,2,2,0,5,0.19621,True
Sybil064,3,0,3,2,2,0,5,0.19621,True
