node_id,sent_total,sent_to_sybil,sent_to_honest,received_total,received_from_sybil,received_from_honest,protocol_diversity,message_burstiness,is_sybil
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Sybil065,3,0,3,2,2,0,5,0.06208,False
Sybil066,3,0,3,2,2,0,5,0.06208,False
Sybil067,3,0,3,2,2,0,5,0.06208,False
Sybil068,3,0,3,2,2,0,5,0.06208,False
Sybil069,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Sybil065,3,0,3,2,2,0,5,0.06208,False
Sybil066,3,0,3,2,2,0,5,0.06208,False
Sybil067,3,0,3,2,2,0,5,0.06208,False
Sybil068,3,0,3,2,2,0,5,0.06208,False
Sybil069,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Sybil065,3,0,3,2,2,0,5,0.06208,False
Sybil066,3,0,3,2,2,0,5,0.06208,False
Sybil067,3,0,3,2,2,0,5,0.06208,False
Sybil068,3,0,3,2,2,0,5,0.06208,False
Sybil069,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Sybil065,3,0,3,2,2,0,5,0.06208,False
Sybil066,3,0,3,2,2,0,5,0.06208,False
Sybil067,3,0,3,2,2,0,5,0.06208,False
Sybil068,3,0,3,2,2,0,5,0.06208,False
Sybil069,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Node013,3,0,3,2,2,0,5,0.06208,False
Sybil065,3,0,3,2,2,0,5,0.06208,False
Sybil066,3,0,3,2,2,0,5,0.06208,False
Sybil067,3,0,3,2,2,0,5,0.06208,False
Sybil068,3,0,3,2,2,0,5,0.06208,False
Sybil069,3,0,3,2,2,0,5,0.06208,False
Sybil065,3,0,3,2,2,0,5,0.06208,True
Sybil066,3,0,3,2,2,0,5,0.06208,True
Sybil067,3,0,3,2,2,0,5,0.06208,True
Sybil068,3,0,3,2,2,0,5,0.06208,True
Sybil069,3,0,3,2,2,0,5,0.06208,True
