node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity_realistic,is_sybil
Node012,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,158.11,980.2,83.53,1.0,False
Node042,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,163.26,852.8,77.36,1.0,False
Node022,2,3,5,0.0,0.2,0.4,0.6,2.3219,4,142.83,1070.0,72.3,1.0,False
Node002,0,5,4,0.02382,0.4,0.4,0.2,1.9219,5,53.18,1226.2,60.03,1.0,False
Node048_Sybil01,5,0,2,0.0,0.6,0.0,0.6,0.971,5,25.89,1286.0,46.09,1.0,True
Node018_Sybil01,0,5,3,0.02525,0.4,0.2,0.0,1.5219,5,52.64,1155.2,52.31,1.0,True
Node012,0,5,4,0.00071,0.4,0.0,0.4,1.9219,5,37.81,1203.8,54.52,1.0,False
Node022,2,3,5,0.00083,0.2,0.2,0.2,2.3219,5,167.32,570.6,80.01,1.0,False
Node045_Sybil00,1,4,4,0.02675,0.4,0.4,0.0,1.9219,5,97.42,1294.8,71.11,1.0,True
Node048_Sybil01,2,3,2,0.00102,0.8,0.0,0.2,0.7219,5,26.28,1391.4,59.67,1.0,True
Node015_Sybil00,0,5,4,0.0005,0.4,0.2,0.0,1.9219,5,55.67,527.8,55.16,1.0,True
Node012,3,2,5,0.00328,0.2,0.4,0.2,2.3219,5,116.1,1310.0,69.41,0.9999,False
Node038_Sybil01,1,4,3,0.02455,0.4,0.6,0.0,1.5219,5,30.93,1170.0,44.7,1.0,True
Node012,2,3,5,0.0011,0.2,0.4,0.2,2.3219,5,82.28,1143.8,60.32,1.0,False
Node015_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,29.37,1070.0,44.7,1.0,True
Node018_Sybil01,0,5,2,0.00071,0.6,0.4,0.0,0.971,5,82.7,1288.4,65.64,1.0,True
Node015_Sybil00,1,4,4,0.02316,0.4,0.6,0.2,1.9219,5,22.6,761.6,49.5,1.0,True
Node032,1,4,5,0.00104,0.2,0.2,0.4,2.3219,4,194.97,1247.0,71.4,1.0,False
Node022,2,3,4,0.00207,0.4,0.2,0.4,1.9219,5,145.13,1073.6,73.94,1.0,False
Node022,5,0,4,0.0,0.4,0.0,0.8,1.9219,5,221.84,804.2,80.56,1.0,False
Node035_Sybil00,3,2,4,0.00177,0.4,0.4,0.2,1.9219,5,75.59,1640.6,57.35,1.0,True
Node032,0,5,3,0.02262,0.6,0.2,0.0,1.371,5,102.15,1165.8,58.25,1.0,False
Node002,0,5,5,0.00426,0.2,0.4,0.2,2.3219,4,64.69,1053.2,54.57,1.0,False
Node032,5,0,5,0.0,0.2,0.4,0.2,2.3219,5,209.44,1367.0,84.65,1.0,False
Node022,0,5,4,0.02684,0.4,0.2,0.4,1.9219,5,192.01,900.4,67.12,1.0,False
Node042,4,1,5,0.00047,0.2,0.2,0.4,2.3219,5,177.09,1004.6,86.55,1.0,False
Node032,3,2,3,0.0,0.4,0.4,0.2,1.5219,5,164.12,1156.6,73.16,1.0,False
Node025_Sybil00,3,2,4,0.00122,0.4,0.0,0.4,1.9219,5,47.53,1053.2,54.13,1.0,True
Node025_Sybil00,1,4,3,0.02326,0.6,0.0,0.2,1.371,5,81.49,865.2,58.73,1.0,True
