node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node004,3,2,5,0.02779,0.2,0.4,0.2,2.3219,5,181.3,1373.8,76.12,1.0,0.2,207.4681,1.0,False
Node004,0,5,5,0.0,0.2,0.4,0.4,2.3219,5,120.98,1448.2,62.32,1.0,0.2,667.3849,1.0,False
Node010_Sybil01,5,0,2,0.0,0.6,0.0,0.0,0.971,5,34.53,1189.8,49.36,1.0,0.0,113.6054,1.0,True
Node044,0,5,4,0.00263,0.4,0.4,0.0,1.9219,5,60.44,1273.4,62.87,1.0,0.0,46.6689,1.0,False
Node020_Sybil01,3,2,4,0.00174,0.4,0.6,0.0,1.9219,5,30.17,924.4,50.14,1.0,0.0,172.3829,1.0,True
Node020_Sybil01,2,3,4,0.00173,0.4,0.6,0.2,1.9219,5,70.35,996.8,65.15,1.0,0.0,333.7778,1.0,True
Node020_Sybil01,5,0,2,0.0,0.6,0.6,0.0,0.971,5,30.45,1099.4,52.14,1.0,0.0,187.2618,1.0,True
Node017_Sybil00,0,5,5,0.00364,0.2,0.2,0.2,2.3219,5,120.69,563.6,58.51,1.0,0.2,445.1231,1.0,True
Node010_Sybil01,0,5,4,0.0027,0.4,0.2,0.4,1.9219,5,25.11,778.0,47.65,1.0,0.0,118.1962,1.0,True
Node034,0,5,4,0.03155,0.4,0.6,0.2,1.9219,5,81.71,914.8,61.22,1.0,0.0,660.0019,1.0,False
Node010_Sybil01,5,0,3,0.0,0.4,0.0,0.4,1.5219,5,38.24,805.2,49.95,1.0,0.0,60.2528,1.0,True
Node024,0,5,3,0.02788,0.6,0.0,0.0,1.371,5,156.15,1442.0,72.52,1.0,0.2,407.3657,1.0,False
Node014,0,5,5,0.0326,0.2,0.2,0.0,2.3219,5,84.24,1222.2,53.61,1.0,0.2,268.9876,1.0,False
Node040_Sybil01,0,5,4,0.00268,0.4,0.4,0.0,1.9219,5,37.58,1381.4,63.26,1.0,0.0,204.1358,1.0,True
Node017_Sybil00,0,5,2,0.00357,0.8,0.8,0.0,0.7219,5,17.68,800.2,57.21,1.0,0.0,47.8037,1.0,True
