node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,avg_latency,avg_msg_size,avg_energy,avg_enr_similarity,latency_spike_ratio,energy_variance,peer_overlap_ratio,is_sybil
Node037,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,189.53,1150.6,81.58,1.0,0.2,58.5163,1.0,False
Node027,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,251.02,1323.6,89.39,1.0,0.4,97.9985,1.0,False
Node007,4,1,4,0.03209,0.4,0.2,0.0,1.9219,4,160.14,899.8,71.85,1.0,0.0,186.5559,0.8,False
Node027,5,0,4,0.0,0.4,0.2,0.2,1.9219,5,172.84,1041.8,68.89,1.0,0.0,86.4073,1.0,False
Node007,4,1,3,0.0025,0.4,0.0,0.4,1.5219,5,183.02,940.4,66.25,1.0,0.2,417.835,1.0,False
Node040_Sybil00,5,0,3,0.0,0.4,0.0,0.2,1.5219,5,16.21,1013.2,57.59,1.0,0.0,43.4999,1.0,True
Node030_Sybil00,3,2,4,0.00173,0.4,0.4,0.0,1.9219,5,40.64,1070.8,50.34,1.0,0.0,76.6452,1.0,True
Node043_Sybil01,1,4,5,0.00305,0.2,0.2,0.2,2.3219,5,80.22,1196.4,63.37,1.0,0.0,729.6766,1.0,True
Node027,5,0,5,0.0,0.2,0.2,0.2,2.3219,5,215.04,717.2,79.35,1.0,0.2,84.8223,1.0,False
Node047,0,5,4,0.00179,0.4,0.2,0.4,1.9219,5,57.8,1413.2,57.68,1.0,0.0,82.3237,1.0,False
Node003_Sybil01,0,5,4,0.0,0.4,0.4,0.2,1.9219,5,98.38,1151.6,60.86,1.0,0.0,67.6266,1.0,True
Node037,5,0,5,0.0,0.2,0.6,0.2,2.3219,5,223.4,1621.0,89.61,1.0,0.2,55.5586,1.0,False
Node047,4,1,5,0.00091,0.2,0.0,0.4,2.3219,5,228.7,772.6,73.18,1.0,0.6,126.106,1.0,False
Node047,0,5,4,0.00366,0.4,0.6,0.2,1.9219,5,27.96,1196.2,45.37,1.0,0.0,34.4381,1.0,False
Node033_Sybil01,1,4,4,0.00166,0.4,0.4,0.2,1.9219,5,69.43,1045.8,47.74,1.0,0.0,363.5828,1.0,True
Node007,4,1,5,0.00261,0.2,0.2,0.4,2.3219,5,143.42,1482.2,69.41,1.0,0.2,365.0162,1.0,False
Node047,5,0,5,0.0,0.2,0.0,0.0,2.3219,5,160.23,1407.2,78.81,1.0,0.0,114.8425,1.0,False
Node033_Sybil01,5,0,3,0.00087,0.6,0.6,0.2,1.371,5,39.98,1198.4,60.05,1.0,0.0,27.5917,1.0,True
Node017,0,5,3,0.0,0.6,0.2,0.2,1.371,4,74.98,741.6,45.85,1.0,0.0,96.8206,0.8,False
Node037,4,1,4,0.00075,0.4,0.4,0.2,1.9219,5,138.48,1226.2,75.67,1.0,0.2,259.6059,1.0,False
Node007,5,0,4,0.0,0.4,0.0,0.4,1.9219,5,230.61,1174.0,87.37,1.0,0.4,89.1624,1.0,False
Node040_Sybil00,2,3,4,0.0,0.4,0.2,0.0,1.9219,5,48.21,1314.2,62.28,1.0,0.0,202.3536,1.0,True
Node047,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,229.06,1330.6,85.0,1.0,0.4,99.8276,1.0,False
Node043_Sybil01,1,4,4,0.03395,0.4,0.6,0.0,1.9219,5,58.68,1116.0,57.11,1.0,0.0,141.5994,1.0,True
Node030_Sybil00,3,2,3,0.00087,0.4,0.2,0.4,1.5219,4,44.61,1286.4,60.24,1.0,0.0,326.353,0.8,True
Node027,5,0,4,0.0,0.4,0.2,0.4,1.9219,5,170.65,1213.6,81.81,1.0,0.0,283.259,1.0,False
Node003_Sybil01,0,5,4,0.01135,0.4,0.0,0.2,1.9219,4,58.7,1297.2,57.79,1.0,0.0,276.9708,0.8,True
Node027,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,201.31,1233.6,79.92,1.0,0.4,133.9168,1.0,False
Node007,1,4,5,0.0242,0.2,0.4,0.2,2.3219,5,123.13,844.6,60.13,1.0,0.4,478.2779,1.0,False
Node007,0,5,4,0.0045,0.4,0.0,0.2,1.9219,5,72.7,1221.8,61.15,1.0,0.0,277.2209,1.0,False
Node047,1,4,5,0.02444,0.2,0.0,0.4,2.3219,5,149.2,811.2,72.93,1.0,0.2,324.0181,1.0,False
Node010_Sybil00,5,0,3,0.0,0.4,0.6,0.0,1.5219,5,26.82,1490.0,47.7,1.0,0.0,30.9967,1.0,True
Node040_Sybil00,4,1,3,0.00162,0.4,0.0,0.4,1.5219,5,28.82,1415.4,48.58,1.0,0.0,106.7941,1.0,True
Node027,0,5,3,0.0,0.6,0.8,0.0,1.371,5,27.74,1400.4,54.64,1.0,0.0,28.3702,1.0,False
Node040_Sybil00,5,0,3,0.0,0.6,0.0,0.2,1.371,5,25.05,1102.0,52.36,1.0,0.0,66.3762,1.0,True
Node047,0,5,4,0.0,0.4,0.4,0.2,1.9219,5,138.87,530.2,70.74,1.0,0.2,328.1296,1.0,False
Node017,5,0,4,0.0,0.4,0.0,0.2,1.9219,4,156.78,866.6,75.78,1.0,0.0,78.9449,0.8,False
Node007,5,0,3,0.0,0.6,0.0,0.8,1.371,5,208.13,1116.2,87.84,1.0,0.2,38.9132,1.0,False
Node047,2,3,5,0.02779,0.2,0.2,0.2,2.3219,5,180.39,753.0,83.92,1.0,0.4,161.8854,1.0,False
Node017,5,0,4,0.0,0.4,0.4,0.0,1.9219,5,137.71,1115.8,84.32,1.0,0.0,111.5311,1.0,False
Node043_Sybil01,1,4,4,0.0027,0.4,0.6,0.0,1.9219,5,105.07,1053.2,51.84,1.0,0.2,173.0088,1.0,True
Node033_Sybil01,1,4,5,0.03763,0.2,0.4,0.0,2.3219,5,40.74,1038.4,48.44,1.0,0.0,183.6345,1.0,True
Node030_Sybil00,0,5,5,0.00361,0.2,0.2,0.4,2.3219,5,111.57,1507.4,77.56,1.0,0.0,139.3539,1.0,True
Node007,0,5,5,0.00351,0.2,0.4,0.0,2.3219,5,56.27,1053.2,56.48,1.0,0.0,371.8659,1.0,False
Node010_Sybil00,0,5,5,0.00166,0.2,0.2,0.4,2.3219,5,73.62,1140.4,65.78,1.0,0.0,362.2043,1.0,True
Node003_Sybil01,0,5,5,0.0027,0.2,0.2,0.0,2.3219,5,90.43,1069.0,57.35,1.0,0.2,323.4867,1.0,True
Node033_Sybil01,5,0,2,0.0,0.8,0.8,0.2,0.7219,5,30.91,1060.2,43.59,1.0,0.0,160.6798,1.0,True
Node010_Sybil00,1,4,3,0.00147,0.4,0.4,0.2,1.5219,5,38.73,672.2,48.33,1.0,0.0,210.2253,1.0,True
Node003_Sybil01,5,0,3,0.0,0.4,0.0,0.4,1.5219,5,25.41,1240.0,38.13,1.0,0.0,59.4409,1.0,True
Node013_Sybil01,5,0,2,0.0,0.8,0.8,0.0,0.7219,4,23.05,1166.4,46.37,1.0,0.0,79.017,0.8,True
Node007,1,4,5,0.0236,0.2,0.2,0.2,2.3219,5,132.71,836.2,65.38,1.0,0.2,130.4325,1.0,False
Node037,4,1,5,0.0027,0.2,0.4,0.4,2.3219,5,225.45,977.4,82.36,1.0,0.6,129.6448,1.0,False
Node043_Sybil01,0,5,3,0.00174,0.6,0.2,0.0,1.371,5,82.47,1017.0,50.87,1.0,0.2,178.815,1.0,True
Node003_Sybil01,4,1,3,0.00272,0.4,0.0,0.6,1.5219,5,61.94,1511.6,60.98,1.0,0.0,189.8691,1.0,True
Node030_Sybil00,3,2,5,0.0,0.2,0.0,0.4,2.3219,5,108.81,1297.4,58.96,1.0,0.2,147.8252,1.0,True
Node013_Sybil01,1,4,4,0.00272,0.4,0.0,0.4,1.9219,4,108.99,1294.8,63.08,1.0,0.0,112.589,0.8,True
Node037,5,0,5,0.0,0.2,0.0,0.0,2.3219,5,188.47,1394.8,82.47,1.0,0.2,119.0522,1.0,False
Node017,5,0,5,0.0,0.2,0.2,0.4,2.3219,5,238.43,777.2,78.36,1.0,0.4,103.4344,1.0,False
Node037,5,0,5,0.0,0.2,0.4,0.4,2.3219,5,214.19,443.2,69.49,1.0,0.4,110.0484,1.0,False
Node027,0,5,2,0.03106,0.6,0.6,0.0,0.971,5,27.0,1462.2,52.98,1.0,0.0,61.6101,1.0,False
Node003_Sybil01,0,5,4,0.00142,0.4,0.4,0.2,1.9219,5,35.67,918.4,44.5,1.0,0.0,98.8358,1.0,True
Node043_Sybil01,1,4,4,0.03211,0.4,0.4,0.2,1.9219,4,33.11,1452.2,51.32,1.0,0.0,107.4028,0.8,True
Node000_Sybil00,1,4,4,0.00415,0.4,0.2,0.0,1.9219,5,67.5,1078.2,60.69,1.0,0.2,148.2232,1.0,True
