node_id,sent_total,received_total,protocol_diversity,message_burstiness,dominant_protocol_ratio,mqtt_ratio,discovery_ratio,protocol_entropy,unique_peers,is_sybil
Node022,5,0,5,0.0,0.2,0.2,0.0,2.3219,5,False
Node031_Sybil00,2,3,3,0.00307,0.6,0.6,0.2,1.371,4,True
Node022,3,2,4,0.00434,0.4,0.2,0.4,1.9219,5,False
Node031_Sybil01,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node027,4,1,4,0.0,0.4,0.4,0.2,1.9219,5,False
Node005_Sybil01,4,1,1,0.00148,1.0,1.0,0.0,0.0,5,True
Node001_Sybil00,1,4,5,0.02526,0.2,0.2,0.2,2.3219,5,True
Node046,2,3,4,0.00503,0.4,0.0,0.2,1.9219,5,False
Node022,1,4,3,0.0364,0.6,0.2,0.0,1.371,5,False
Node015_Sybil00,5,0,2,0.0,0.8,0.0,1.0,0.7219,5,True
Node038_Sybil00,3,2,3,0.00429,0.6,0.6,0.2,1.371,5,True
Node035,5,0,5,0.00067,0.2,0.2,0.0,2.3219,5,False
Node001_Sybil00,0,5,5,0.00517,0.2,0.2,0.2,2.3219,5,True
Node031_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node043_Sybil01,0,5,4,0.02516,0.4,0.4,0.0,1.9219,5,True
Node043_Sybil01,2,3,4,0.03014,0.4,0.2,0.2,1.9219,5,True
Node046,2,3,4,0.00387,0.4,0.2,0.2,1.9219,5,False
Node027,5,0,3,0.0,0.6,0.0,0.8,1.371,5,False
Node022,2,3,4,0.00119,0.4,0.2,0.6,1.9219,5,False
Node021_Sybil00,0,5,5,0.00149,0.2,0.2,0.0,2.3219,5,True
Node026_Sybil00,0,5,5,0.02694,0.2,0.4,0.2,2.3219,5,True
Node040,5,0,4,0.0,0.4,0.4,0.6,1.9219,4,False
Node026_Sybil00,0,5,5,0.00584,0.2,0.2,0.6,2.3219,5,True
Node046,0,5,4,0.00673,0.4,0.6,0.0,1.9219,5,False
Node040,2,3,5,0.00357,0.2,0.2,0.2,2.3219,5,False
Node022,2,3,4,0.00248,0.4,0.0,0.2,1.9219,5,False
Node049,1,4,4,0.00996,0.4,0.2,0.6,1.9219,5,False
Node031_Sybil00,3,2,3,0.00753,0.6,0.6,0.2,1.371,5,True
Node005_Sybil01,0,5,5,0.00171,0.2,0.2,0.2,2.3219,5,True
Node022,5,0,4,0.0,0.4,0.0,0.2,1.9219,5,False
Node049,1,4,4,0.02104,0.4,0.2,0.2,1.9219,4,False
Node001_Sybil00,5,0,2,0.00092,0.6,0.0,0.0,0.971,5,True
Node049,0,5,4,0.00333,0.4,0.2,0.2,1.9219,4,False
Node046,5,0,5,0.0,0.2,0.0,0.6,2.3219,4,False
Node001_Sybil00,4,1,3,0.00127,0.4,0.2,0.0,1.5219,5,True
Node021_Sybil00,3,2,3,0.00472,0.6,0.0,0.2,1.371,4,True
Node022,2,3,3,0.0021,0.6,0.0,0.2,1.371,5,False
Node022,4,1,4,0.00913,0.4,0.0,0.6,1.9219,5,False
Node015_Sybil00,1,4,5,0.00254,0.2,0.2,0.6,2.3219,5,True
Node035,5,0,5,0.0,0.2,0.0,0.2,2.3219,5,False
Node049,4,1,5,0.04964,0.2,0.2,0.4,2.3219,5,False
Node038_Sybil00,5,0,1,0.0,1.0,1.0,0.0,0.0,5,True
Node046,2,3,3,0.00169,0.4,0.4,0.4,1.5219,5,False
Node001_Sybil00,5,0,2,0.0,0.8,0.0,0.0,0.7219,5,True
Node022,3,2,4,0.00981,0.4,0.2,0.2,1.9219,4,False
